,Pclass,Sex,Age
556,1,female,48.0
557,1,male,
558,1,female,39.0
559,3,female,36.0
560,3,male,
561,3,male,40.0
562,2,male,28.0
563,3,male,
564,3,female,
565,3,male,24.0
566,3,male,19.0
567,3,female,29.0
568,3,male,
569,3,male,32.0
570,2,male,62.0
571,1,female,53.0
572,1,male,36.0
573,3,female,
574,3,male,16.0
575,3,male,19.0
576,2,female,34.0
577,1,female,39.0
578,3,female,
579,3,male,32.0
580,2,female,25.0
581,1,female,39.0
582,2,male,54.0
583,1,male,36.0
584,3,male,
585,1,female,18.0
586,2,male,47.0
587,1,male,60.0
588,3,male,22.0
589,3,male,
590,3,male,35.0
591,1,female,52.0
592,3,male,47.0
593,3,female,
594,2,male,37.0
595,3,male,36.0
596,2,female,
597,3,male,49.0
598,3,male,
599,1,male,49.0
600,2,female,24.0
601,3,male,
602,1,male,
603,3,male,44.0
604,1,male,35.0
605,3,male,36.0
606,3,male,30.0
607,1,male,27.0
608,2,female,22.0
609,1,female,40.0
610,3,female,39.0
611,3,male,
612,3,female,
613,3,male,
614,3,male,35.0
615,2,female,24.0
616,3,male,34.0
617,3,female,26.0
618,2,female,4.0
619,2,male,26.0
620,3,male,27.0
621,1,male,42.0
622,3,male,20.0
623,3,male,21.0
624,3,male,21.0
625,1,male,61.0
626,2,male,57.0
627,1,female,21.0
628,3,male,26.0
629,3,male,
630,1,male,80.0
631,3,male,51.0
632,1,male,32.0
633,1,male,
634,3,female,9.0
635,2,female,28.0
636,3,male,32.0
637,2,male,31.0
638,3,female,41.0
639,3,male,
640,3,male,20.0
641,1,female,24.0
642,3,female,2.0
643,3,male,
644,3,female,0.75
645,1,male,48.0
646,3,male,19.0
647,1,male,56.0
648,3,male,
649,3,female,23.0
650,3,male,
651,2,female,18.0
652,3,male,21.0
653,3,female,
654,3,female,18.0
655,2,male,24.0
656,3,male,
657,3,female,32.0
658,2,male,23.0
659,1,male,58.0
660,1,male,50.0
661,3,male,40.0
662,1,male,47.0
663,3,male,36.0
664,3,male,20.0
665,2,male,32.0
666,2,male,25.0
667,3,male,
668,3,male,43.0
669,1,female,
670,2,female,40.0
671,1,male,31.0
672,2,male,70.0
673,2,male,31.0
674,2,male,
675,3,male,18.0
676,3,male,24.5
677,3,female,18.0
678,3,female,43.0
679,1,male,36.0
680,3,female,
681,1,male,27.0
682,3,male,20.0
683,3,male,14.0
684,2,male,60.0
685,2,male,25.0
686,3,male,14.0
687,3,male,19.0
688,3,male,18.0
689,1,female,15.0
690,1,male,31.0
691,3,female,4.0
692,3,male,
693,3,male,25.0
694,1,male,60.0
695,2,male,52.0
696,3,male,44.0
697,3,female,
698,1,male,49.0
699,3,male,42.0
700,1,female,18.0
701,1,male,35.0
702,3,female,18.0
703,3,male,25.0
704,3,male,26.0
705,2,male,39.0
706,2,female,45.0
707,1,male,42.0
708,1,female,22.0
709,3,male,
710,1,female,24.0
711,1,male,
712,1,male,48.0
713,3,male,29.0
714,2,male,52.0
715,3,male,19.0
716,1,female,38.0
717,2,female,27.0
718,3,male,
719,3,male,33.0
720,2,female,6.0
721,3,male,17.0
722,2,male,34.0
723,2,male,50.0
724,1,male,27.0
725,3,male,20.0
726,2,female,30.0
727,3,female,
728,2,male,25.0
729,3,female,25.0
730,1,female,29.0
731,3,male,11.0
732,2,male,
733,2,male,23.0
734,2,male,23.0
735,3,male,28.5
736,3,female,48.0
737,1,male,35.0
738,3,male,
739,3,male,
740,1,male,
741,1,male,36.0
742,1,female,21.0
743,3,male,24.0
744,3,male,31.0
745,1,male,70.0
746,3,male,16.0
747,2,female,30.0
748,1,male,19.0
749,3,male,31.0
750,2,female,4.0
751,3,male,6.0
752,3,male,33.0
753,3,male,23.0
754,2,female,48.0
755,2,male,0.67
756,3,male,28.0
757,2,male,18.0
758,3,male,34.0
759,1,female,33.0
760,3,male,
761,3,male,41.0
762,3,male,20.0
763,1,female,36.0
764,3,male,16.0
765,1,female,51.0
766,1,male,
767,3,female,30.5
768,3,male,
769,3,male,32.0
770,3,male,24.0
771,3,male,48.0
772,2,female,57.0
773,3,male,
774,2,female,54.0
775,3,male,18.0
776,3,male,
777,3,female,5.0
778,3,male,
779,1,female,43.0
780,3,female,13.0
781,1,female,17.0
782,1,male,29.0
783,3,male,
784,3,male,25.0
785,3,male,25.0
786,3,female,18.0
787,3,male,8.0
788,3,male,1.0
789,1,male,46.0
790,3,male,
791,2,male,16.0
792,3,female,
793,1,male,
794,3,male,25.0
795,2,male,39.0
796,1,female,49.0
797,3,female,31.0
798,3,male,30.0
799,3,female,30.0
800,2,male,34.0
801,2,female,31.0
802,1,male,11.0
803,3,male,0.42
804,3,male,27.0
805,3,male,31.0
806,1,male,39.0
807,3,female,18.0
808,2,male,39.0
809,1,female,33.0
810,3,male,26.0
811,3,male,39.0
812,2,male,35.0
813,3,female,6.0
814,3,male,30.5
815,1,male,
816,3,female,23.0
817,2,male,31.0
818,3,male,43.0
819,3,male,10.0
820,1,female,52.0
821,3,male,27.0
822,1,male,38.0
823,3,female,27.0
824,3,male,2.0
825,3,male,
826,3,male,
827,2,male,1.0
828,3,male,
829,1,female,62.0
830,3,female,15.0
831,2,male,0.83
832,3,male,
833,3,male,23.0
834,3,male,18.0
835,1,female,39.0
836,3,male,21.0
837,3,male,
838,3,male,32.0
839,1,male,
840,3,male,20.0
841,2,male,16.0
842,1,female,30.0
843,3,male,34.5
844,3,male,17.0
845,3,male,42.0
846,3,male,
847,3,male,35.0
848,2,male,28.0
849,1,female,
850,3,male,4.0
851,3,male,74.0
852,3,female,9.0
853,1,female,16.0
854,2,female,44.0
855,3,female,18.0
856,1,female,45.0
857,1,male,51.0
858,3,female,24.0
859,3,male,
860,3,male,41.0
861,2,male,21.0
862,1,female,48.0
863,3,female,
864,2,male,24.0
865,2,female,42.0
866,2,female,27.0
867,1,male,31.0
868,3,male,
869,3,male,4.0
870,3,male,26.0
871,1,female,47.0
872,1,male,33.0
873,3,male,47.0
874,2,female,28.0
875,3,female,15.0
876,3,male,20.0
877,3,male,19.0
878,3,male,
879,1,female,56.0
880,2,female,25.0
881,3,male,33.0
882,3,female,22.0
883,2,male,28.0
884,3,male,25.0
885,3,female,39.0
886,2,male,27.0
887,1,female,19.0
888,3,female,
889,1,male,26.0
890,3,male,32.0
