Unnamed: 0,Datetime1,DAYTON_MW,Datetime
877,16,19.133,2022-02-09 13:00:00
2138,7,24.533,2022-04-03 02:00:00
6227,7,23.814,2022-09-20 11:00:00
293,6,19.533,2022-01-16 05:00:00
2892,19,34.533,2022-05-04 12:00:00
445,14,10.933,2022-01-22 13:00:00
5033,8,23.3,2022-08-01 17:00:00
2210,7,25.833,2022-04-06 02:00:00
6586,6,25.786,2022-10-05 10:00:00
4032,9,9.833,2022-06-21 00:00:00
4880,17,10.075,2022-07-26 08:00:00
3323,18,10.533,2022-05-22 11:00:00
3785,5,26.0,2022-06-10 17:00:00
4761,18,10.117,2022-07-21 09:00:00
4656,9,11.94,2022-07-17 00:00:00
367,8,22.667,2022-01-19 07:00:00
4482,3,24.817,2022-07-09 18:00:00
3012,19,9.933,2022-05-09 12:00:00
6400,12,26.644,2022-09-27 16:00:00
4248,9,10.2,2022-06-30 00:00:00
6113,13,11.817,2022-09-15 17:00:00
1961,22,28.3,2022-03-26 17:00:00
2063,4,27.7,2022-03-30 23:00:00
2925,4,26.067,2022-05-05 21:00:00
1511,2,24.7,2022-03-07 23:00:00
5514,9,21.967,2022-08-21 18:00:00
1535,2,25.9,2022-03-08 23:00:00
1186,13,27.467,2022-02-22 10:00:00
4552,1,21.8,2022-07-12 16:00:00
4327,16,23.933,2022-07-03 07:00:00
6209,13,24.32,2022-09-19 17:00:00
2417,22,15.3,2022-04-14 17:00:00
5911,3,26.467,2022-09-07 07:00:00
6527,19,25.45,2022-10-02 23:00:00
151,8,22.9,2022-01-10 07:00:00
1760,11,27.0,2022-03-18 08:00:00
1033,4,21.45,2022-02-16 01:00:00
1383,18,28.567,2022-03-02 15:00:00
915,6,21.2,2022-02-11 03:00:00
1305,12,25.55,2022-02-27 09:00:00
3889,10,10.267,2022-06-15 01:00:00
3550,19,9.1,2022-05-31 22:00:00
4716,21,12.52,2022-07-19 12:00:00
509,6,20.6,2022-01-25 05:00:00
2053,18,11.467,2022-03-30 13:00:00
4772,5,23.983,2022-07-21 20:00:00
2350,3,28.133,2022-04-11 22:00:00
3116,3,27.5,2022-05-13 20:00:00
748,7,20.45,2022-02-04 04:00:00
1964,1,27.4,2022-03-26 20:00:00
2771,16,17.45,2022-04-29 11:00:00
1533,0,27.167,2022-03-08 21:00:00
1310,17,29.5,2022-02-27 14:00:00
2654,19,33.933,2022-04-24 14:00:00
5385,0,22.883,2022-08-16 09:00:00
2653,18,34.3,2022-04-24 13:00:00
6482,22,21.283,2022-10-01 02:00:00
2902,5,28.733,2022-05-04 22:00:00
4628,5,24.4,2022-07-15 20:00:00
4823,8,9.56,2022-07-23 23:00:00
5446,13,26.75,2022-08-18 22:00:00
471,16,8.2,2022-01-23 15:00:00
4081,10,9.933,2022-06-23 01:00:00
4198,7,8.233,2022-06-27 22:00:00
6305,13,24.643,2022-09-23 17:00:00
4351,16,9.833,2022-07-04 07:00:00
6300,8,22.9,2022-09-23 12:00:00
5783,14,32.25,2022-09-01 23:00:00
896,11,14.633,2022-02-10 08:00:00
5044,19,22.717,2022-08-02 04:00:00
6637,9,24.617,2022-10-07 13:00:00
251,12,17.9,2022-01-14 11:00:00
1209,12,25.267,2022-02-23 09:00:00
2389,18,33.3,2022-04-13 13:00:00
4280,17,10.833,2022-07-01 08:00:00
6513,5,25.5,2022-10-02 09:00:00
3470,21,9.3,2022-05-28 14:00:00
4623,0,24.8,2022-07-15 15:00:00
1128,3,21.7,2022-02-20 00:00:00
2575,12,11.9,2022-04-21 07:00:00
6238,18,23.033,2022-09-20 22:00:00
2183,4,24.967,2022-04-04 23:00:00
3768,12,11.133,2022-06-10 00:00:00
57,10,23.533,2022-01-06 09:00:00
1322,5,22.6,2022-02-28 02:00:00
3932,5,25.55,2022-06-16 20:00:00
3807,3,27.167,2022-06-11 15:00:00
6631,3,25.75,2022-10-07 07:00:00
1578,21,26.133,2022-03-10 18:00:00
292,5,20.05,2022-01-16 04:00:00
1142,17,28.967,2022-02-20 14:00:00
5045,20,17.1,2022-08-02 05:00:00
5277,12,22.04,2022-08-11 21:00:00
1170,21,25.4,2022-02-21 18:00:00
2366,19,34.9,2022-04-12 14:00:00
1595,14,10.35,2022-03-11 11:00:00
3937,10,27.767,2022-06-17 01:00:00
6003,23,22.217,2022-09-11 03:00:00
2077,18,33.4,2022-03-31 13:00:00
1086,9,20.333,2022-02-18 06:00:00
2034,23,30.7,2022-03-29 18:00:00
3966,15,11.167,2022-06-18 06:00:00
1172,23,23.8,2022-02-21 20:00:00
5351,14,22.1,2022-08-14 23:00:00
2206,3,27.9,2022-04-05 22:00:00
5338,1,23.933,2022-08-14 10:00:00
5253,12,22.28,2022-08-10 21:00:00
1756,7,23.967,2022-03-18 04:00:00
4213,22,8.3,2022-06-28 13:00:00
2299,0,28.567,2022-04-09 19:00:00
5989,9,13.98,2022-09-10 13:00:00
2127,20,30.0,2022-04-02 15:00:00
4466,11,9.4,2022-07-09 02:00:00
613,16,23.2,2022-01-29 13:00:00
2716,9,9.95,2022-04-27 04:00:00
5023,22,8.7,2022-08-01 07:00:00
2323,0,27.9,2022-04-10 19:00:00
1430,17,29.5,2022-03-04 14:00:00
3647,12,26.6,2022-06-04 23:00:00
6009,5,10.483,2022-09-11 09:00:00
505,2,22.833,2022-01-25 01:00:00
415,8,16.633,2022-01-21 07:00:00
1740,15,12.867,2022-03-17 12:00:00
272,9,21.2,2022-01-15 08:00:00
5576,23,24.814,2022-08-24 08:00:00
5629,4,25.314,2022-08-26 13:00:00
3767,11,21.367,2022-06-09 23:00:00
2499,8,22.233,2022-04-18 03:00:00
5573,20,25.65,2022-08-24 05:00:00
4096,1,8.767,2022-06-23 16:00:00
106,11,9.2,2022-01-08 10:00:00
1344,3,24.867,2022-03-01 00:00:00
1879,10,26.95,2022-03-23 07:00:00
2908,11,13.367,2022-05-05 04:00:00
4850,11,15.1,2022-07-25 02:00:00
1844,23,28.95,2022-03-21 20:00:00
952,19,24.433,2022-02-12 16:00:00
5909,1,26.767,2022-09-07 05:00:00
5748,3,26.383,2022-08-31 12:00:00
4003,4,26.8,2022-06-19 19:00:00
1504,19,29.267,2022-03-07 16:00:00
2486,19,10.333,2022-04-17 14:00:00
2131,0,26.95,2022-04-02 19:00:00
1870,1,30.3,2022-03-22 22:00:00
5525,20,21.917,2022-08-22 05:00:00
3646,11,25.9,2022-06-04 22:00:00
1024,19,27.35,2022-02-15 16:00:00
2633,22,12.4,2022-04-23 17:00:00
2765,10,10.1,2022-04-29 05:00:00
1730,5,22.75,2022-03-17 02:00:00
416,9,20.25,2022-01-21 08:00:00
3332,3,25.733,2022-05-22 20:00:00
5860,0,27.2,2022-09-05 04:00:00
5403,18,24.483,2022-08-17 03:00:00
564,15,21.167,2022-01-27 12:00:00
478,23,15.0,2022-01-23 22:00:00
2182,3,25.433,2022-04-04 22:00:00
4861,22,23.817,2022-07-25 13:00:00
1203,6,22.133,2022-02-23 03:00:00
1224,3,22.867,2022-02-24 00:00:00
142,23,14.2,2022-01-09 22:00:00
5973,17,25.6,2022-09-09 21:00:00
5011,10,24.033,2022-07-31 19:00:00
4201,10,8.85,2022-06-28 01:00:00
3319,14,12.1,2022-05-22 07:00:00
6056,4,8.117,2022-09-13 08:00:00
2662,3,27.667,2022-04-24 22:00:00
605,8,16.767,2022-01-29 05:00:00
1194,21,27.7,2022-02-22 18:00:00
3606,3,25.7,2022-06-03 06:00:00
3934,7,25.967,2022-06-16 22:00:00
2899,2,30.1,2022-05-04 19:00:00
1807,10,10.767,2022-03-20 07:00:00
497,18,16.267,2022-01-24 17:00:00
3662,11,10.367,2022-06-05 14:00:00
2457,14,31.6,2022-04-16 09:00:00
6524,16,16.133,2022-10-02 20:00:00
3151,14,29.767,2022-05-15 07:00:00
2991,22,7.133,2022-05-08 15:00:00
1902,9,9.633,2022-03-24 06:00:00
721,4,14.367,2022-02-03 01:00:00
1718,17,30.367,2022-03-16 14:00:00
1025,20,26.6,2022-02-15 17:00:00
4845,6,24.033,2022-07-24 21:00:00
1295,2,24.65,2022-02-26 23:00:00
1496,11,25.1,2022-03-07 08:00:00
3552,21,8.833,2022-06-01 00:00:00
1520,11,25.733,2022-03-08 08:00:00
1765,16,32.233,2022-03-18 13:00:00
4237,22,22.967,2022-06-29 13:00:00
6130,6,23.85,2022-09-16 10:00:00
3971,20,24.55,2022-06-18 11:00:00
5316,3,23.4,2022-08-13 12:00:00
2676,17,32.967,2022-04-25 12:00:00
5370,9,22.529,2022-08-15 18:00:00
1302,9,22.7,2022-02-27 06:00:00
108,13,10.067,2022-01-08 12:00:00
1351,10,23.25,2022-03-01 07:00:00
5962,6,26.767,2022-09-09 10:00:00
4674,3,23.4,2022-07-17 18:00:00
6333,17,26.367,2022-09-24 21:00:00
2415,20,20.067,2022-04-14 15:00:00
931,22,23.1,2022-02-11 19:00:00
336,1,21.467,2022-01-18 00:00:00
5842,1,26.7,2022-09-04 10:00:00
3442,17,10.267,2022-05-27 10:00:00
1864,19,35.033,2022-03-22 16:00:00
3819,12,23.967,2022-06-12 03:00:00
937,4,20.7,2022-02-12 01:00:00
6039,11,9.957,2022-09-12 15:00:00
1580,23,25.2,2022-03-10 20:00:00
6551,19,29.68,2022-10-03 23:00:00
387,4,19.75,2022-01-20 03:00:00
3529,22,29.1,2022-05-31 01:00:00
2523,8,25.0,2022-04-19 03:00:00
4706,11,10.04,2022-07-19 02:00:00
3834,3,25.4,2022-06-12 18:00:00
3240,7,24.167,2022-05-19 00:00:00
724,7,10.45,2022-02-03 04:00:00
765,0,14.633,2022-02-04 21:00:00
286,23,21.95,2022-01-15 22:00:00
4581,6,24.617,2022-07-13 21:00:00
5233,16,25.1,2022-08-10 01:00:00
307,20,23.15,2022-01-16 19:00:00
3589,10,25.3,2022-06-02 13:00:00
2706,23,32.2,2022-04-26 18:00:00
5187,18,23.5,2022-08-08 03:00:00
2264,13,14.767,2022-04-08 08:00:00
3977,2,25.0,2022-06-18 17:00:00
6040,12,10.24,2022-09-12 16:00:00
4934,5,25.16,2022-07-28 14:00:00
1860,15,15.533,2022-03-22 12:00:00
1634,5,23.5,2022-03-13 02:00:00
2531,16,34.467,2022-04-19 11:00:00
4678,7,20.517,2022-07-17 22:00:00
5654,5,25.0,2022-08-27 14:00:00
184,17,24.2,2022-01-11 16:00:00
71,0,21.35,2022-01-06 23:00:00
5272,7,23.48,2022-08-11 16:00:00
711,18,6.3,2022-02-02 15:00:00
421,14,10.0,2022-01-21 13:00:00
1020,15,27.3,2022-02-15 12:00:00
2364,17,35.667,2022-04-12 12:00:00
1971,8,26.933,2022-03-27 03:00:00
2864,15,34.167,2022-05-03 08:00:00
737,20,12.967,2022-02-03 17:00:00
3872,17,24.567,2022-06-14 08:00:00
1260,15,30.6,2022-02-25 12:00:00
1666,13,27.8,2022-03-14 10:00:00
5571,18,26.34,2022-08-24 03:00:00
6647,19,27.6,2022-10-07 23:00:00
4372,13,21.325,2022-07-05 04:00:00
4328,17,23.7,2022-07-03 08:00:00
6190,18,24.64,2022-09-18 22:00:00
6355,15,25.767,2022-09-25 19:00:00
2018,7,26.367,2022-03-29 02:00:00
3538,7,12.367,2022-05-31 10:00:00
1210,13,26.9,2022-02-23 10:00:00
1695,18,30.8,2022-03-15 15:00:00
1882,13,29.333,2022-03-23 10:00:00
1095,18,24.567,2022-02-18 15:00:00
3460,11,25.133,2022-05-28 04:00:00
6346,6,25.125,2022-09-25 10:00:00
3492,9,8.967,2022-05-29 12:00:00
1630,1,26.633,2022-03-12 22:00:00
6539,7,25.5,2022-10-03 11:00:00
6282,14,28.371,2022-09-22 18:00:00
6133,9,22.014,2022-09-16 13:00:00
1612,7,8.9,2022-03-12 04:00:00
978,21,23.0,2022-02-13 18:00:00
2746,15,18.667,2022-04-28 10:00:00
4726,7,23.2,2022-07-19 22:00:00
1775,2,26.3,2022-03-18 23:00:00
5679,6,26.28,2022-08-28 15:00:00
487,8,14.833,2022-01-24 07:00:00
1916,23,26.7,2022-03-24 20:00:00
5870,10,26.7,2022-09-05 14:00:00
344,9,19.3,2022-01-18 08:00:00
5849,8,25.85,2022-09-04 17:00:00
4283,20,23.767,2022-07-01 11:00:00
1795,22,29.233,2022-03-19 19:00:00
911,2,24.133,2022-02-10 23:00:00
1041,12,24.3,2022-02-16 09:00:00
47,0,23.6,2022-01-05 23:00:00
3245,12,26.5,2022-05-19 05:00:00
5777,8,27.025,2022-09-01 17:00:00
1350,9,22.35,2022-03-01 06:00:00
443,12,8.667,2022-01-22 11:00:00
4815,0,27.68,2022-07-23 15:00:00
1061,8,19.833,2022-02-17 05:00:00
1451,14,26.733,2022-03-05 11:00:00
3870,15,11.933,2022-06-14 06:00:00
3100,11,27.667,2022-05-13 04:00:00
1743,18,30.867,2022-03-17 15:00:00
4635,12,23.417,2022-07-16 03:00:00
2684,1,29.5,2022-04-25 20:00:00
3733,1,22.933,2022-06-08 13:00:00
1754,5,24.7,2022-03-18 02:00:00
6180,8,22.6,2022-09-18 12:00:00
5337,0,24.04,2022-08-14 09:00:00
2153,22,27.767,2022-04-03 17:00:00
5151,6,24.5,2022-08-06 15:00:00
1055,2,24.2,2022-02-16 23:00:00
848,11,20.733,2022-02-08 08:00:00
3715,7,11.1,2022-06-07 19:00:00
4878,15,26.74,2022-07-26 06:00:00
2338,15,14.0,2022-04-11 10:00:00
4112,17,18.6,2022-06-24 08:00:00
1294,1,24.833,2022-02-26 22:00:00
4084,13,9.533,2022-06-23 04:00:00
6064,12,9.371,2022-09-13 16:00:00
3414,13,10.4,2022-05-26 06:00:00
6229,9,23.2,2022-09-20 13:00:00
4763,20,9.8,2022-07-21 11:00:00
4758,15,25.74,2022-07-21 06:00:00
3806,2,27.267,2022-06-11 14:00:00
1112,11,22.3,2022-02-19 08:00:00
3740,8,25.533,2022-06-08 20:00:00
776,11,8.333,2022-02-05 08:00:00
6306,14,27.917,2022-09-23 18:00:00
183,16,24.3,2022-01-11 15:00:00
2619,8,9.5,2022-04-23 03:00:00
4556,5,14.957,2022-07-12 20:00:00
4518,15,16.767,2022-07-11 06:00:00
1891,22,27.8,2022-03-23 19:00:00
1513,4,24.1,2022-03-08 01:00:00
5931,23,28.8,2022-09-08 03:00:00
734,17,8.1,2022-02-03 14:00:00
4704,9,9.55,2022-07-19 00:00:00
2407,12,29.3,2022-04-14 07:00:00
1168,19,26.85,2022-02-21 16:00:00
2446,3,28.667,2022-04-15 22:00:00
3044,3,29.9,2022-05-10 20:00:00
5157,12,23.367,2022-08-06 21:00:00
6237,17,23.25,2022-09-20 21:00:00
5718,21,27.967,2022-08-30 06:00:00
3226,17,10.867,2022-05-18 10:00:00
6188,16,25.16,2022-09-18 20:00:00
2677,18,32.6,2022-04-25 13:00:00
485,6,20.933,2022-01-24 05:00:00
2465,22,28.5,2022-04-16 17:00:00
452,21,23.15,2022-01-22 20:00:00
5922,14,30.517,2022-09-07 18:00:00
95,0,26.2,2022-01-07 23:00:00
3488,15,15.533,2022-05-29 08:00:00
5106,9,25.7,2022-08-04 18:00:00
3626,23,15.667,2022-06-04 02:00:00
30,7,19.167,2022-01-05 06:00:00
1665,12,26.3,2022-03-14 09:00:00
789,0,14.9,2022-02-05 21:00:00
6372,8,24.55,2022-09-26 12:00:00
3296,15,29.65,2022-05-21 08:00:00
4019,20,9.2,2022-06-20 11:00:00
4855,16,25.514,2022-07-25 07:00:00
2473,6,27.3,2022-04-17 01:00:00
1893,0,26.867,2022-03-23 21:00:00
1539,6,24.233,2022-03-09 03:00:00
1109,8,20.5,2022-02-19 05:00:00
1817,20,32.4,2022-03-20 17:00:00
100,5,23.333,2022-01-08 04:00:00
5805,12,26.5,2022-09-02 21:00:00
2941,20,33.033,2022-05-06 13:00:00
4949,20,29.117,2022-07-29 05:00:00
1443,6,22.8,2022-03-05 03:00:00
5933,1,28.2,2022-09-08 05:00:00
6269,1,23.4,2022-09-22 05:00:00
4215,0,17.6,2022-06-28 15:00:00
2114,7,25.167,2022-04-02 02:00:00
1083,6,19.7,2022-02-18 03:00:00
2317,18,27.75,2022-04-10 13:00:00
861,0,22.167,2022-02-08 21:00:00
4510,7,22.7,2022-07-10 22:00:00
903,18,8.767,2022-02-10 15:00:00
2534,19,34.05,2022-04-19 14:00:00
109,14,10.1,2022-01-08 13:00:00
4945,16,29.767,2022-07-29 01:00:00
6385,21,25.7,2022-09-27 01:00:00
5598,21,25.117,2022-08-25 06:00:00
5963,7,26.55,2022-09-09 11:00:00
3753,21,26.467,2022-06-09 09:00:00
1831,10,27.033,2022-03-21 07:00:00
5094,21,10.62,2022-08-04 06:00:00
1897,4,26.367,2022-03-24 01:00:00
2471,4,27.833,2022-04-16 23:00:00
2245,18,13.25,2022-04-07 13:00:00
782,17,9.167,2022-02-05 14:00:00
6516,8,10.533,2022-10-02 12:00:00
927,18,26.2,2022-02-11 15:00:00
3808,4,27.0,2022-06-11 16:00:00
3560,5,25.2,2022-06-01 08:00:00
3091,2,24.75,2022-05-12 19:00:00
3583,4,25.133,2022-06-02 07:00:00
4596,21,15.1,2022-07-14 12:00:00
3053,12,12.8,2022-05-11 05:00:00
1825,4,27.667,2022-03-21 01:00:00
6264,20,23.4,2022-09-22 00:00:00
4436,5,23.2,2022-07-07 20:00:00
1094,17,22.433,2022-02-18 14:00:00
1121,20,24.8,2022-02-19 17:00:00
5164,19,23.267,2022-08-07 04:00:00
6558,2,27.16,2022-10-04 06:00:00
6579,23,25.017,2022-10-05 03:00:00
1373,8,15.533,2022-03-02 05:00:00
809,20,11.467,2022-02-06 17:00:00
4783,16,25.633,2022-07-22 07:00:00
4751,8,22.95,2022-07-20 23:00:00
3770,14,11.167,2022-06-10 02:00:00
6455,19,22.267,2022-09-29 23:00:00
1654,1,24.233,2022-03-13 22:00:00
5459,2,24.9,2022-08-19 11:00:00
4570,19,21.15,2022-07-13 10:00:00
6570,14,26.183,2022-10-04 18:00:00
5072,23,9.16,2022-08-03 08:00:00
2080,21,29.44,2022-03-31 16:00:00
3621,18,10.3,2022-06-03 21:00:00
5103,6,25.1,2022-08-04 15:00:00
6281,13,27.6,2022-09-22 17:00:00
2770,15,30.533,2022-04-29 10:00:00
1287,18,12.8,2022-02-26 15:00:00
2617,6,26.6,2022-04-23 01:00:00
2833,8,6.933,2022-05-02 01:00:00
4258,19,23.1,2022-06-30 10:00:00
4550,23,20.94,2022-07-12 14:00:00
5099,2,24.017,2022-08-04 11:00:00
2916,19,28.433,2022-05-05 12:00:00
5741,20,27.48,2022-08-31 05:00:00
3898,19,9.5,2022-06-15 10:00:00
3536,5,26.633,2022-05-31 08:00:00
5439,6,24.5,2022-08-18 15:00:00
6021,17,10.05,2022-09-11 21:00:00
4393,10,10.667,2022-07-06 01:00:00
2439,20,17.233,2022-04-15 15:00:00
87,16,9.767,2022-01-07 15:00:00
3948,21,30.5,2022-06-17 12:00:00
1204,7,21.7,2022-02-23 04:00:00
6254,10,22.75,2022-09-21 14:00:00
2351,4,27.9,2022-04-11 23:00:00
2932,11,29.433,2022-05-06 04:00:00
5137,16,24.733,2022-08-06 01:00:00
5510,5,23.4,2022-08-21 14:00:00
2249,22,29.367,2022-04-07 17:00:00
6638,10,24.917,2022-10-07 14:00:00
518,15,23.867,2022-01-25 14:00:00
1770,21,28.833,2022-03-18 18:00:00
829,16,17.367,2022-02-07 13:00:00
3094,5,26.75,2022-05-12 22:00:00
3238,5,25.467,2022-05-18 22:00:00
438,7,20.3,2022-01-22 06:00:00
627,6,19.133,2022-01-30 03:00:00
339,4,20.367,2022-01-18 03:00:00
4260,21,22.433,2022-06-30 12:00:00
1744,19,30.4,2022-03-17 16:00:00
925,16,27.033,2022-02-11 13:00:00
3739,7,25.933,2022-06-08 19:00:00
295,8,20.3,2022-01-16 07:00:00
1052,23,15.5,2022-02-16 20:00:00
3758,2,26.367,2022-06-09 14:00:00
4519,16,14.22,2022-07-11 07:00:00
1173,0,23.467,2022-02-21 21:00:00
5375,14,23.6,2022-08-15 23:00:00
5599,22,24.886,2022-08-25 07:00:00
3172,11,27.333,2022-05-16 04:00:00
1561,4,26.2,2022-03-10 01:00:00
3410,9,8.75,2022-05-26 02:00:00
2922,1,23.567,2022-05-05 18:00:00
1941,2,27.933,2022-03-25 21:00:00
2312,13,13.433,2022-04-10 08:00:00
944,11,21.7,2022-02-12 08:00:00
5300,11,22.629,2022-08-12 20:00:00
5639,14,26.85,2022-08-26 23:00:00
2860,11,29.633,2022-05-03 04:00:00
12,12,21.833,2022-01-04 12:00:00
1117,16,27.5,2022-02-19 13:00:00
4851,12,22.38,2022-07-25 03:00:00
3396,19,25.4,2022-05-25 12:00:00
5019,18,9.417,2022-08-01 03:00:00
642,21,10.067,2022-01-30 18:00:00
5839,22,26.8,2022-09-04 07:00:00
4982,5,24.0,2022-07-30 14:00:00
2166,11,26.433,2022-04-04 06:00:00
3337,8,9.467,2022-05-23 01:00:00
1319,2,24.7,2022-02-27 23:00:00
4881,0,19.75,2022-07-26 09:00:00
6522,14,12.483,2022-10-02 18:00:00
6098,22,23.25,2022-09-15 02:00:00
2118,11,27.933,2022-04-02 06:00:00
4564,13,16.283,2022-07-13 04:00:00
6313,21,27.233,2022-09-24 01:00:00
2592,5,25.95,2022-04-22 00:00:00
2829,4,26.867,2022-05-01 21:00:00
2678,19,31.933,2022-04-25 14:00:00
3299,18,23.9,2022-05-21 11:00:00
653,8,14.367,2022-01-31 05:00:00
429,22,12.933,2022-01-21 21:00:00
2441,22,19.7,2022-04-15 17:00:00
2239,12,15.15,2022-04-07 07:00:00
3917,14,10.833,2022-06-16 05:00:00
5715,18,29.58,2022-08-30 03:00:00
3130,17,30.3,2022-05-14 10:00:00
3542,11,25.4,2022-05-31 14:00:00
2119,12,29.367,2022-04-02 07:00:00
3886,7,18.2,2022-06-14 22:00:00
